clinic_name,street,postal_code,municipality,latitude,longitude,coordinate_qc,note
Barcode: Allmennlege,Dronning Eufemias gate 9,0191,Oslo,59.90851019999999,10.7540935,ok,
Bedriftshelsetjeneste,Sørkedalsveien 8,0369,Oslo,59.7559699,10.5882702,needs_manual_review,Coordinate outside expected Oslo/Baerum bounding box; verify by address geocoding.
"Bislett: Allmennlege, Fysioterapi, Kiropraktor",Dalsbergstien 18,0170,Oslo,59.9230239,10.7358702,ok,
Bogstadveien: Allmennlege,Bogstadveien 30,0355,Oslo,59.92622,10.721051100000068,ok,
"Carl Berner: Allmennlege, Fysioterapeut, Kiropraktor, Psykolog",Dælenenggata 20,0567,Oslo,59.92761099999999,10.7700901,ok,
"Ensjø: Allmennlege, Hudlege, Gynekolog, Fysioterapeut, Kiropraktor",Ensjøveien 21,0661,Oslo,59.9135177,10.7888314,ok,
"Grünerløkka, Markveien: Fysioterapeut, Osteopat, Kiropraktor",Markveien 25,0554,Oslo,59.924685,10.7569544,ok,
"Grünerløkka: Allmennlege, Gynekolog",Thorvald Meyers gate 35,0555,Oslo,59.92520580000001,10.758950899999945,ok,
"Hegdehaugsveien: Hudlege, Gynekolog, Fysioterapeut, Kiropraktor, Psykolog, Øre-Nese-Hals",Oscars gate 20,0352,Oslo,59.92240899999999,10.728087,ok,
"Huitfeldts gate: Psykolog, Psykiater",Huitfeldtsgate 4A,0253,Oslo,59.914859,10.7261571,ok,
Kirkegata: Psykolog,Kirkegata 1-3,0153,Oslo,59.9090583,10.7422586,ok,
"Kirkeveien: Hudlege, Gynekolog, FotoFinder, Gastro",Kirkeveien 60,0368,Oslo,59.92850559999999,10.7143031,ok,
"Majorstuen: Fysioterapi, Kiropraktor",Majorstuveien 30,0367,Oslo,59.9271708,10.7156114,ok,
"Nordstrand (Sæter Torg): Allmennlege, Hudlege, Psykolog, Gynekolog",Nordstrandveien 46,1162,Oslo,59.860833,10.803191,ok,
Nydalen: Allmennlege,Nydalen allé 17,0484,Oslo,59.9478652,10.7670005,ok,
"Skøyen: Allmennlege, Gynekolog",Karenslyst Allé 32,0278,Oslo,59.9206742,10.681992700000023,ok,
Stortorvet: Allmennlege,Møllergata 4,0179,Oslo,59.913769,10.74582,ok,
Sørkedalsveien: Øyehelseklinikken,Sørkedalsveien 10D,0369,Oslo,59.93073,10.70996,ok,
Torshov: Allmennlege,Torshovgata 7,0476,Oslo,59.9336984,10.76400000000001,ok,
Ullevål Stadion: Allmennlege,Sognsveien 75c,0855,Oslo,59.9496954,10.7335799,ok,
"Vika Terrasse: Allmennlege, BHT",Ruseløkkveien 14,0251,Oslo,59.91327760000001,10.7282118,ok,
"Økern: Allmennlege, Psykolog, Fysioterapeut og Kiropraktor",Østre Aker vei 19,0581,Oslo,59.92759,10.806586,ok,
"Sandvika Sentrum: Allmennlege, Hudlege",Claude Monet allé 21,1338,Bærum,59.88941140000001,10.5221421,ok,
"Sandvika Stasjon: Fysioterapeut, Kiropraktor, Psykolog",Leif Tronstads plass 7,1337,Bærum,59.8933823,10.5243669,ok,
