clinic_name,street,postal_code,municipality,area,country,latitude,longitude,source,source_dataset
Barcode: Allmennlege,Dronning Eufemias gate 9,0191,Oslo,Oslo,Norway,59.90851019999999,10.7540935,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Bedriftshelsetjeneste,Sørkedalsveien 8,0369,Oslo,Oslo,Norway,59.7559699,10.5882702,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Bislett: Allmennlege, Fysioterapi, Kiropraktor",Dalsbergstien 18,0170,Oslo,Oslo,Norway,59.9230239,10.7358702,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Bogstadveien: Allmennlege,Bogstadveien 30,0355,Oslo,Oslo,Norway,59.92622,10.721051100000068,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Carl Berner: Allmennlege, Fysioterapeut, Kiropraktor, Psykolog",Dælenenggata 20,0567,Oslo,Oslo,Norway,59.92761099999999,10.7700901,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Ensjø: Allmennlege, Hudlege, Gynekolog, Fysioterapeut, Kiropraktor",Ensjøveien 21,0661,Oslo,Oslo,Norway,59.9135177,10.7888314,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Grünerløkka, Markveien: Fysioterapeut, Osteopat, Kiropraktor",Markveien 25,0554,Oslo,Oslo,Norway,59.924685,10.7569544,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Grünerløkka: Allmennlege, Gynekolog",Thorvald Meyers gate 35,0555,Oslo,Oslo,Norway,59.92520580000001,10.758950899999945,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Hegdehaugsveien: Hudlege, Gynekolog, Fysioterapeut, Kiropraktor, Psykolog, Øre-Nese-Hals",Oscars gate 20,0352,Oslo,Oslo,Norway,59.92240899999999,10.728087,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Huitfeldts gate: Psykolog, Psykiater",Huitfeldtsgate 4A,0253,Oslo,Oslo,Norway,59.914859,10.7261571,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Kirkegata: Psykolog,Kirkegata 1-3,0153,Oslo,Oslo,Norway,59.9090583,10.7422586,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Kirkeveien: Hudlege, Gynekolog, FotoFinder, Gastro",Kirkeveien 60,0368,Oslo,Oslo,Norway,59.92850559999999,10.7143031,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Majorstuen: Fysioterapi, Kiropraktor",Majorstuveien 30,0367,Oslo,Oslo,Norway,59.9271708,10.7156114,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Nordstrand (Sæter Torg): Allmennlege, Hudlege, Psykolog, Gynekolog",Nordstrandveien 46,1162,Oslo,Oslo,Norway,59.860833,10.803191,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Nydalen: Allmennlege,Nydalen allé 17,0484,Oslo,Oslo,Norway,59.9478652,10.7670005,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Skøyen: Allmennlege, Gynekolog",Karenslyst Allé 32,0278,Oslo,Oslo,Norway,59.9206742,10.681992700000023,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Stortorvet: Allmennlege,Møllergata 4,0179,Oslo,Oslo,Norway,59.913769,10.74582,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Sørkedalsveien: Øyehelseklinikken,Sørkedalsveien 10D,0369,Oslo,Oslo,Norway,59.93073,10.70996,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Torshov: Allmennlege,Torshovgata 7,0476,Oslo,Oslo,Norway,59.9336984,10.76400000000001,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
Ullevål Stadion: Allmennlege,Sognsveien 75c,0855,Oslo,Oslo,Norway,59.9496954,10.7335799,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Vika Terrasse: Allmennlege, BHT",Ruseløkkveien 14,0251,Oslo,Oslo,Norway,59.91327760000001,10.7282118,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Økern: Allmennlege, Psykolog, Fysioterapeut og Kiropraktor",Østre Aker vei 19,0581,Oslo,Oslo,Norway,59.92759,10.806586,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Sandvika Sentrum: Allmennlege, Hudlege",Claude Monet allé 21,1338,Bærum,Sandvika,Norway,59.88941140000001,10.5221421,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
"Sandvika Stasjon: Fysioterapeut, Kiropraktor, Psykolog",Leif Tronstads plass 7,1337,Bærum,Sandvika,Norway,59.8933823,10.5243669,https://www.drdropin.no/klinikker,https://www.drdropin.no/page-data/sq/d/2676090211.json
